listing_id,platform,city,state,brand,model,variant,manufacturing_year,vehicle_age,kilometers_driven,engine_capacity_cc,mileage_kmpl,transmission,fuel_type,number_of_owners,seller_type,warranty_status,insurance_validity,listed_price,price_per_cc,price_per_km,expected_market_price,price_difference,price_ratio,price_category
PW_DUP_20218,OLX,Chennai,Tamil Nadu,Royal Enfield,Bullet 350,Standard ES,2017,9,67296,346.0,38.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,49200.0,142.2,0.731,58400.0,-9200.0,0.842,Underpriced
PW_IND_10348,OLX,Chennai,Tamil Nadu,Honda,Activa 125,Disc,2017,9,66705,124.0,50.0,Automatic,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,19500.0,157.26,0.292,26000.0,-6500.0,0.75,Underpriced
PW_IND_12106,OLX,Chennai,Tamil Nadu,Royal Enfield,Classic 350,Dual Channel ABS,2020,6,40620,349.0,35.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,110500.0,316.62,2.72,109500.0,1000.0,1.009,Fairly Priced
PW_IND_10570,OLX,Mumbai,Maharashtra,Yamaha,R15 V4,M Edition,2024,2,23296,155.0,40.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,163500.0,1054.84,7.018,162100.0,1400.0,1.009,Fairly Priced
PW_IND_16264,BikeWale,Jaipur,Rajasthan,Yamaha,Aerox 155,Version S,2018,8,50651,155.0,42.0,Automatic,Petrol,2nd Owner,Dealer,No Warranty,Third-Party,36400.0,234.84,0.719,48600.0,-12200.0,0.749,Underpriced
PW_IND_18027,Droom,Hyderabad,Telangana,Royal Enfield,Hunter 350,Metro Rebel,2023,3,35860,349.0,36.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,155300.0,444.99,4.331,133900.0,21400.0,1.16,Overpriced
PW_IND_13190,Quikr,Lucknow,Uttar Pradesh,Suzuki,Burgman Street,EX,2020,6,43724,124.0,50.0,Automatic,Petrol,3rd Owner,Individual,No Warranty,Third-Party,28300.0,228.23,0.647,35200.0,-6900.0,0.804,Underpriced
PW_IND_16516,BikeWale,Lucknow,Uttar Pradesh,Suzuki,Gixxer SF 150,Standard ABS,2021,5,39175,155.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,67400.0,434.84,1.72,72900.0,-5500.0,0.925,Fairly Priced
PW_IND_11665,OLX,Ahmedabad,Gujarat,Hero,Glamour,Disc,2017,9,119904,125.0,55.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,19500.0,156.0,0.163,22900.0,-3400.0,0.852,Underpriced
PW_IND_14613,BikeDekho,Kolkata,West Bengal,Hero,Splendor Plus,Self Start i3S,2024,2,19726,97.0,65.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,51200.0,527.84,2.595,55800.0,-4600.0,0.918,Fairly Priced
PW_IND_15914,BikeWale,Kolkata,West Bengal,Bajaj,Pulsar 125,Neon,2018,8,97749,125.0,52.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Comprehensive,20000.0,160.0,0.205,23800.0,-3800.0,0.84,Underpriced
PW_IND_18657,Bikes24,Chennai,Tamil Nadu,Royal Enfield,Bullet 350,Standard ES,2014,12,85458,346.0,38.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Expired,58500.0,169.08,0.685,47100.0,11400.0,1.242,Overpriced
PW_IND_18260,Bikes24,Chennai,Tamil Nadu,Royal Enfield,Bullet 350,Standard ES,2016,10,111455,346.0,38.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,59400.0,171.68,0.533,52100.0,7300.0,1.14,Overpriced
PW_IND_18547,Bikes24,Chennai,Tamil Nadu,Hero,Glamour,Disc,2021,5,42996,125.0,55.0,Manual,Petrol,1st Owner,Certified Dealer,6 Months Warranty,Expired,65700.0,525.6,1.528,52400.0,13300.0,1.254,Overpriced
PW_IND_15722,BikeDekho,Lucknow,Uttar Pradesh,Hero,Xpulse 200,4V Rally,2016,10,80432,200.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,29100.0,145.5,0.362,39000.0,-9900.0,0.746,Underpriced
PW_IND_16004,BikeWale,Delhi-NCR,Delhi,Bajaj,Pulsar NS200,Dual Channel ABS,2017,9,93127,199.0,40.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Expired,31100.0,156.28,0.334,40000.0,-8900.0,0.778,Underpriced
PW_IND_10259,OLX,Jaipur,Rajasthan,TVS,Sport,ES,2020,6,68369,110.0,70.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Third-Party,19200.0,174.55,0.281,24200.0,-5000.0,0.793,Underpriced
PW_IND_11132,OLX,Delhi-NCR,Delhi,Royal Enfield,Hunter 350,Metro Rebel,2022,4,24978,349.0,36.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Expired,100900.0,289.11,4.039,99900.0,1000.0,1.01,Fairly Priced
PW_IND_13605,Quikr,Chennai,Tamil Nadu,Honda,CB Shine,SP,2020,6,37861,125.0,58.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,36300.0,290.4,0.959,41700.0,-5400.0,0.871,Underpriced
PW_IND_17317,Droom,Lucknow,Uttar Pradesh,Hero,Glamour,Disc,2025,1,9357,125.0,55.0,Manual,Petrol,2nd Owner,Certified Dealer,6 Months Warranty,Comprehensive,85000.0,680.0,9.083,71600.0,13400.0,1.187,Overpriced
PW_IND_11347,OLX,Ahmedabad,Gujarat,Suzuki,Gixxer 250,Dual ABS,2017,9,121751,249.0,35.0,Manual,Petrol,4th Owner,Individual,No Warranty,Third-Party,27400.0,110.04,0.225,34200.0,-6800.0,0.801,Underpriced
PW_IND_15751,BikeDekho,Jaipur,Rajasthan,Bajaj,Dominar 400,Touring Edition,2017,9,101317,373.0,30.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,57100.0,153.08,0.564,64100.0,-7000.0,0.891,Underpriced
PW_IND_14979,BikeDekho,Lucknow,Uttar Pradesh,Yamaha,FZ-S FI,V4 Deluxe,2019,7,68907,149.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,33700.0,226.17,0.489,46200.0,-12500.0,0.729,Underpriced
PW_IND_13436,Quikr,Jaipur,Rajasthan,Bajaj,Pulsar 150,Twin Disc,2016,10,87948,149.0,48.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,19600.0,131.54,0.223,30100.0,-10500.0,0.651,Underpriced
PW_IND_16998,BikeWale,Lucknow,Uttar Pradesh,Suzuki,Gixxer SF 150,Standard ABS,2018,8,99749,155.0,45.0,Manual,Petrol,1st Owner,Dealer,6 Months Warranty,Comprehensive,31900.0,205.81,0.32,45000.0,-13100.0,0.709,Underpriced
PW_IND_16240,BikeWale,Hyderabad,Telangana,KTM,Duke 200,Electronic Orange,2015,11,88226,199.0,33.0,Manual,Petrol,3rd Owner,Individual,6 Months Warranty,Third-Party,37300.0,187.44,0.423,40700.0,-3400.0,0.916,Fairly Priced
PW_IND_13289,Quikr,Ahmedabad,Gujarat,Hero,Glamour,Disc,2018,8,85327,125.0,55.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Third-Party,22300.0,178.4,0.261,25600.0,-3300.0,0.871,Underpriced
PW_IND_15569,BikeDekho,Mumbai,Maharashtra,Bajaj,Pulsar NS200,Dual Channel ABS,2016,10,113501,199.0,40.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Third-Party,28400.0,142.71,0.25,33700.0,-5300.0,0.843,Underpriced
PW_IND_11674,OLX,Ahmedabad,Gujarat,TVS,Apache RTR 160,4V Special Edition,2021,5,39587,160.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,71400.0,446.25,1.804,70000.0,1400.0,1.02,Fairly Priced
PW_IND_10843,OLX,Delhi-NCR,Delhi,Royal Enfield,Himalayan,Pine Green,2021,5,56674,411.0,32.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,112500.0,273.72,1.985,107400.0,5100.0,1.047,Fairly Priced
PW_IND_18643,Bikes24,Ahmedabad,Gujarat,Honda,CB Shine,SP,2017,9,89532,125.0,58.0,Manual,Petrol,2nd Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,34800.0,278.4,0.389,28000.0,6800.0,1.243,Overpriced
PW_IND_17345,Droom,Lucknow,Uttar Pradesh,Suzuki,Gixxer SF 150,Standard ABS,2020,6,68334,155.0,45.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,79400.0,512.26,1.162,68400.0,11000.0,1.161,Overpriced
PW_IND_13061,Quikr,Jaipur,Rajasthan,Bajaj,Pulsar 150,Twin Disc,2020,6,49639,149.0,48.0,Manual,Petrol,1st Owner,Individual,No Warranty,Expired,48900.0,328.19,0.985,52400.0,-3500.0,0.933,Fairly Priced
PW_IND_10707,OLX,Pune,Maharashtra,KTM,RC 390,Factory Racing,2020,6,62479,373.0,27.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,143300.0,384.18,2.294,152600.0,-9300.0,0.939,Fairly Priced
PW_IND_19040,CarTrade,Pune,Maharashtra,Royal Enfield,Hunter 350,Metro Rebel,2019,7,61123,349.0,36.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,59800.0,171.35,0.978,64000.0,-4200.0,0.934,Fairly Priced
PW_IND_14753,BikeDekho,Delhi-NCR,Delhi,Yamaha,R15 V4,M Edition,2016,10,78256,155.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,41900.0,270.32,0.535,50600.0,-8700.0,0.828,Underpriced
PW_IND_17315,Droom,Jaipur,Rajasthan,Yamaha,R15 V4,M Edition,2013,13,95441,155.0,40.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,50700.0,327.1,0.531,43400.0,7300.0,1.168,Overpriced
PW_IND_10948,OLX,Chennai,Tamil Nadu,Suzuki,Gixxer SF 150,Standard ABS,2025,1,11814,155.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,168600.0,1087.74,14.27,129600.0,39000.0,1.301,Overpriced
PW_IND_15101,BikeDekho,Lucknow,Uttar Pradesh,Hero,Xpulse 200,4V Rally,2023,3,29474,200.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,101700.0,508.5,3.45,96600.0,5100.0,1.053,Fairly Priced
PW_IND_18901,Bikes24,Hyderabad,Telangana,Hero,Splendor Plus,Self Start i3S,2020,6,68843,97.0,65.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,55800.0,575.26,0.811,40300.0,15500.0,1.385,Overpriced
PW_IND_18988,Bikes24,Jaipur,Rajasthan,Suzuki,Gixxer 250,Dual ABS,2021,5,32671,249.0,35.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,128500.0,516.06,3.933,113600.0,14900.0,1.131,Overpriced
PW_IND_11022,OLX,Bengaluru,Karnataka,Bajaj,Pulsar 125,Neon,2015,11,96300,125.0,52.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,18800.0,150.4,0.195,23100.0,-4300.0,0.814,Underpriced
PW_IND_18904,Bikes24,Lucknow,Uttar Pradesh,KTM,Duke 390,Gen-3 Dark Galvano,2013,13,136989,373.0,28.0,Manual,Petrol,1st Owner,Certified Dealer,6 Months Warranty,Comprehensive,67000.0,179.62,0.489,57100.0,9900.0,1.173,Overpriced
PW_IND_17468,Droom,Pune,Maharashtra,Yamaha,R15 V4,M Edition,2020,6,68441,155.0,40.0,Manual,Petrol,2nd Owner,Dealer,6 Months Warranty,Comprehensive,63700.0,410.97,0.931,80700.0,-17000.0,0.789,Underpriced
PW_IND_13328,Quikr,Hyderabad,Telangana,Bajaj,Pulsar 125,Neon,2017,9,100358,125.0,52.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,19500.0,156.0,0.194,25800.0,-6300.0,0.756,Underpriced
PW_IND_12577,OLX,Chennai,Tamil Nadu,Yamaha,FZ-S FI,V4 Deluxe,2016,10,81003,149.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,30700.0,206.04,0.379,34600.0,-3900.0,0.887,Underpriced
PW_IND_18406,Bikes24,Ahmedabad,Gujarat,Suzuki,Gixxer 250,Dual ABS,2025,1,9385,249.0,35.0,Manual,Petrol,2nd Owner,Certified Dealer,6 Months Warranty,Comprehensive,198600.0,797.59,21.159,166000.0,32600.0,1.196,Overpriced
