listing_id,platform,city,state,brand,model,variant,manufacturing_year,kilometers_driven,engine_capacity_cc,mileage_kmpl,transmission,fuel_type,number_of_owners,seller_type,warranty_status,insurance_validity,scraped_date,raw_price
PW_DUP_20218,OLX,Chennai,Tamil Nadu,Royal Enfield,Bullet 350,Standard ES,2017,67296,346.0,38.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-08-15,"₹49,200"
PW_IND_10348,OLX,Chennai,Tamil Nadu,Honda,Activa 125,Disc,2017,66705,124.0,50.0,Automatic,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,2026-07-10,"19,500"
PW_IND_12106,OLX,Chennai,Tamil Nadu,Royal Enfield,Classic 350,Dual Channel ABS,2020,40620,349.0,35.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-08-25,"₹ 110,500"
PW_IND_10570,OLX,Mumbai,Maharashtra,Yamaha,R15 V4,M Edition,2024,23296,155.0,40.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Comprehensive,2026-06-01,163500
PW_IND_16264,BikeWale,Jaipur,Rajasthan,Yamaha,Aerox 155,Version S,2018,50651,155.0,42.0,Automatic,Petrol,2nd Owner,Dealer,No Warranty,Third-Party,2026-01-06,"₹ 36,400.00"
PW_IND_18027,Droom,Hyderabad,Telangana,Royal Enfield,Hunter 350,Metro Rebel,2023,35860,349.0,36.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,2026-05-18,"₹ 155,300"
PW_IND_15084,BikeDekho,Mumbai,Maharashtra,Hero,HF Deluxe,Kick Start,2017,80422,97.0,68.0,Manual,Petrol,1st Owner,Individual,6 Months Warranty,Comprehensive,2026-07-14,"₹ 16,700.00"
PW_IND_13190,Quikr,Lucknow,Uttar Pradesh,Suzuki,Burgman Street,EX,2020,43724,124.0,50.0,Automatic,Petrol,3rd Owner,Individual,No Warranty,Third-Party,2026-03-03,"₹28,300"
PW_IND_16516,BikeWale,Lucknow,Uttar Pradesh,Suzuki,Gixxer SF 150,Standard ABS,2021,39175,155.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-06-14,67400
PW_IND_11665,OLX,Ahmedabad,Gujarat,Hero,Glamour,Disc,2017,119904,125.0,55.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-01-02,"₹ 19,500.00"
PW_IND_14613,BikeDekho,Kolkata,West Bengal,Hero,Splendor Plus,Self Start i3S,2024,19726,97.0,,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-07-11,51200
PW_IND_15914,BikeWale,Kolkata,West Bengal,Bajaj,Pulsar 125,Neon,2018,97749,125.0,52.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Comprehensive,2026-06-14,"20,000"
PW_IND_18657,Bikes24,Chennai,Tamil Nadu,Royal Enfield,Bullet 350,Standard ES,2014,85458,346.0,38.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Expired,2026-02-02,58500
PW_IND_18260,Bikes24,Chennai,Tamil Nadu,Royal Enfield,Bullet 350,Standard ES,2016,111455,346.0,38.0,Manual,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Comprehensive,2026-01-26,"₹ 59,400"
PW_IND_18547,Bikes24,Chennai,Tamil Nadu,Hero,Glamour,Disc,2021,42996,125.0,55.0,Manual,Petrol,1st Owner,Certified Dealer,6 Months Warranty,Expired,2026-04-04,"65,700"
PW_IND_12610,OLX,Lucknow,Uttar Pradesh,Suzuki,Burgman Street,EX,2014,76509,124.0,50.0,Automatic,Petrol,2nd Owner,Individual,No Warranty,Comprehensive,2026-07-12,"₹ 15,000.00"
PW_IND_15722,BikeDekho,Lucknow,Uttar Pradesh,Hero,Xpulse 200,4V Rally,2016,80432,200.0,40.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-04-07,"₹29,100"
PW_IND_16004,BikeWale,Delhi-NCR,Delhi,Bajaj,Pulsar NS200,Dual Channel ABS,2017,93127,199.0,40.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Expired,2026-03-02,"₹ 31,100"
PW_IND_10259,OLX,Jaipur,Rajasthan,TVS,Sport,ES,2020,68369,110.0,70.0,Manual,Petrol,2nd Owner,Individual,No Warranty,Third-Party,2026-08-05,"₹ 19,200"
PW_IND_11132,OLX,Delhi-NCR,Delhi,Royal Enfield,Hunter 350,Metro Rebel,2022,24978,349.0,36.0,Manual,Petrol,1st Owner,Dealer,No Warranty,Expired,2026-08-09,"₹ 100,900.00"
PW_IND_13605,Quikr,Chennai,Tamil Nadu,Honda,CB Shine,SP,2020,37861,125.0,58.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-01-01,"₹36,300"
PW_IND_10879,OLX,Pune,Maharashtra,Hero,Glamour,Disc,2013,169215,125.0,55.0,Manual,Petrol,2nd Owner,Dealer,No Warranty,Comprehensive,2026-07-13,"16,100"
PW_IND_17952,Droom,Jaipur,Rajasthan,Honda,Activa 125,Disc,2012,168501,124.0,50.0,Automatic,Petrol,1st Owner,Certified Dealer,1 Year Certified Warranty,Third-Party,2026-08-26,"₹ 19,700"
PW_IND_17317,Droom,Lucknow,Uttar Pradesh,Hero,Glamour,Disc,2025,9357,125.0,55.0,Manual,Petrol,2nd Owner,Certified Dealer,6 Months Warranty,Comprehensive,2026-08-13,"₹ 85,000.00"
PW_IND_11347,OLX,Ahmedabad,Gujarat,Suzuki,Gixxer 250,Dual ABS,2017,121751,249.0,35.0,Manual,Petrol,4th Owner,Individual,No Warranty,Third-Party,2026-05-10,"₹27,400"
PW_IND_15751,BikeDekho,Jaipur,Rajasthan,Bajaj,Dominar 400,Touring Edition,2017,101317,373.0,30.0,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-08-12,"57,100"
PW_IND_14979,BikeDekho,Lucknow,Uttar Pradesh,Yamaha,FZ-S FI,V4 Deluxe,2019,68907,149.0,45.0,Manual,Petrol,1st Owner,Individual,No Warranty,Third-Party,2026-06-26,"₹ 33,700.00"
PW_IND_13436,Quikr,Jaipur,Rajasthan,Bajaj,Pulsar 150,Twin Disc,2016,87948,149.0,,Manual,Petrol,1st Owner,Individual,No Warranty,Comprehensive,2026-08-27,"₹ 19,600"
PW_IND_16998,BikeWale,Lucknow,Uttar Pradesh,Suzuki,Gixxer SF 150,Standard ABS,2018,99749,155.0,45.0,Manual,Petrol,1st Owner,Dealer,6 Months Warranty,Comprehensive,2026-07-14,"₹31,900"
PW_IND_16240,BikeWale,Hyderabad,Telangana,KTM,Duke 200,Electronic Orange,2015,88226,199.0,33.0,Manual,Petrol,3rd Owner,Individual,6 Months Warranty,Third-Party,2026-02-24,"37,300"
